descriptor_set,descriptor_description,model,lengthscale,sigma_main,sigma_epi,sigma_noise,mae,rmse,r2,pearson,spearman,nlpd_observed
physical,"Two physical descriptors; PD1 relates to volume, PD2 to hydrophilicity.",epistatic,0.2,0.5,4.0,0.5,37.50651651998694,48.71335591156342,0.7786816963442563,0.8830891917892127,0.8630856523721689,6.238166427714771
z_scales,Z-scales; compact amino-acid physicochemical descriptors.,epistatic,0.5,0.5,4.0,0.5,42.51927087116659,54.373220251592755,0.7242653509717464,0.8514670509311547,0.841795646016997,6.293259699648032
vhse,"VHSE scales; hydrophobic, steric and electronic descriptors.",epistatic,0.5,0.5,4.0,0.5,44.07508718757735,56.71491152263354,0.7000038014998424,0.8372298080420171,0.8170039938797246,6.305399541912926
kidera,Kidera factors; 10-dimensional physicochemical factors.,epistatic,0.2,0.5,4.0,0.5,44.09757003923174,56.782335445744344,0.6992900934756237,0.8368118705037095,0.8212059688182451,6.306010367520209
pcp,Physical-chemical property descriptors from peptides.py.,epistatic,0.2,0.5,4.0,0.5,44.097571876671964,56.78233768716939,0.6992900697351866,0.836811856741219,0.8212059688182451,6.306010367270889
atchley,Atchley factors; multidimensional amino-acid descriptors.,epistatic,0.2,0.5,4.0,0.5,44.09766690333106,56.78243452360265,0.699289044074634,0.8368112802864375,0.8212059688182451,6.306010340367588
physical,"Two physical descriptors; PD1 relates to volume, PD2 to hydrophilicity.",additive,1.0,0.5,0.0,0.5,55.9087041592553,68.49438132881542,0.5624465341562329,0.7593123442648858,0.792772605067588,5.722532989487922
z_scales,Z-scales; compact amino-acid physicochemical descriptors.,additive,0.2,0.5,0.0,0.5,58.5505679671973,70.41778019466295,0.5375275199079363,0.7385949145841993,0.777645495288913,5.755953309500591
kidera,Kidera factors; 10-dimensional physicochemical factors.,additive,0.2,0.5,0.0,0.5,58.55622639125325,70.42509960097973,0.5374313737384078,0.7385212667126351,0.777645495288913,5.756072972581462
vhse,"VHSE scales; hydrophobic, steric and electronic descriptors.",additive,0.2,0.5,0.0,0.5,58.55622660735546,70.42509977609554,0.5374313714380043,0.738521264979253,0.777645495288913,5.7560729759552345
pcp,Physical-chemical property descriptors from peptides.py.,additive,0.2,0.5,0.0,0.5,58.556227035904044,70.42510012929965,0.537431366798149,0.73852126148042,0.777645495288913,5.756072982713872
atchley,Atchley factors; multidimensional amino-acid descriptors.,additive,0.2,0.5,0.0,0.5,58.556234021699105,70.42510852943352,0.5374312564500296,0.7385211779290959,0.777645495288913,5.756073158899323
