source,component,n,dimension,n_nonzero_distances,median_distance,q10_distance,q90_distance,fraction_kernel_lt_1e-3,fraction_kernel_gt_0p9,min_kernel_eigenvalue
kidera,99,35,10,378,4.618280060841973,4.459456865579313,5.019001323124138,0.0,0.37478991596638656,-5.415129594601333e-15
kidera,134,35,10,504,5.011115881714565,8.429369702178807e-08,5.011115881714565,0.0,0.5058823529411764,-8.63763495418244e-15
kidera,304,35,10,547,4.618280060841973,5.960464477539063e-08,5.0742541359306275,0.0,0.22016806722689075,-4.228878924538371e-15
kidera,330,35,10,294,4.737383438449742,4.450295746820325,5.226953732653782,0.0,0.5058823529411764,-7.406286736839354e-15
vhse,99,35,8,389,5.23097680036613,5.09152184751192,6.139121993124096,0.0,0.37478991596638656,-4.368429571715608e-15
vhse,134,35,8,294,2.191009012673474,2.191009012673474,2.191009012673474,0.0,0.5058823529411764,-5.982497932371043e-15
vhse,304,35,8,465,4.476646301208871,2.0965347852394327,5.212988806927459,0.0,0.26554621848739496,-5.129524093221896e-15
vhse,330,35,8,570,2.9617785952199682,5.960464477539063e-08,5.7354713154883505,0.0,0.5058823529411764,-3.5679082841334674e-15
z_scales,99,35,5,372,3.855501455799635,3.05129229668588,4.275935164343828,0.0,0.37478991596638656,-6.984965430632393e-15
z_scales,134,35,5,385,2.123859715608241,2.9802322387695312e-08,2.1238597156082415,0.0,0.5058823529411764,-1.0670315965951785e-14
z_scales,304,35,5,464,3.5915350957593755,2.2696984844937527,3.9135554258637613,0.0,0.2857142857142857,-7.370392287185238e-15
z_scales,330,35,5,309,2.6419248708364806,2.123708823417574,4.03172263484342,0.0,0.5058823529411764,-4.1979150098444314e-15
atchley,99,35,5,372,4.718846726148202,3.1938816076641343,4.789264454240934,0.0,0.37478991596638656,-7.098235692245632e-15
atchley,134,35,5,385,2.0630276919628665,2.9802322387695312e-08,2.0630276919628665,0.0,0.5058823529411764,-5.982497932371043e-15
atchley,304,35,5,465,3.4589598789546026,2.2684188469072653,4.787423088449204,0.0,0.24201680672268908,-5.4033482550825165e-15
atchley,330,35,5,309,3.5553108382954077,3.272041695470714,3.8880296061328368,0.0,0.5058823529411764,-1.1109997573167324e-14
pcp,99,35,5,395,3.5445128639183237,2.9525823612273494,3.9609692518379993,0.0,0.37478991596638656,-3.1483666312086072e-15
pcp,134,35,5,294,1.6927009832830104,1.6927009832830104,1.6927009832830104,0.0,0.5058823529411764,-8.63763495418244e-15
pcp,304,35,5,466,2.691878216976579,2.3896524698462427,3.9758974915266707,0.0,0.2235294117647059,-3.957419905021805e-15
pcp,330,35,5,570,1.999504192184683,4.2146848510894035e-08,4.3713696531499675,0.0,0.5058823529411764,-6.4053982397625795e-15
physical,99,35,2,372,1.979750750232978,1.6851495901680715,2.9659215088301503,0.0,0.37478991596638656,-5.712475601238421e-15
physical,134,35,2,385,1.6387110350376344,2.9802322387695312e-08,1.6387110350376344,0.0,0.5058823529411764,-8.63763495418244e-15
physical,304,35,2,465,2.603548012606521,0.3568326594541472,2.7606767108721506,0.0,0.42521008403361343,-4.363851221015903e-15
physical,330,35,2,294,2.6532369904152873,1.0585079336927001,3.5317103561273724,0.0,0.7075630252100841,-5.2026643740496546e-15
