source,component,lengthscale_multiplier,reference_distance_scale,resolved_lengthscale,n_finite_offdiagonal_pairs,n_identical_pairs,fraction_identical_pairs,n_nonidentical_pairs,kernel_q05_nonidentical,kernel_q25_nonidentical,kernel_median_nonidentical,kernel_q75_nonidentical,kernel_q95_nonidentical,fraction_nonidentical_kernel_lt_1e-3,fraction_nonidentical_kernel_lt_0p01,fraction_nonidentical_kernel_gt_0p9
kidera,99,0.5,4.737383438449742,2.368691719224871,595,217,0.36470588235294116,378,0.04968962751847771,0.10594331340838142,0.14946403788911633,0.16995580827633416,0.16995580827633416,0.0,0.0,0.015873015873015872
kidera,99,1.0,4.737383438449742,4.737383438449742,595,217,0.36470588235294116,378,0.4721352596586947,0.5705167346703588,0.6217763193697491,0.6420724014797631,0.6420724014797631,0.0,0.0,0.015873015873015872
kidera,99,2.0,4.737383438449742,9.474766876899483,595,217,0.36470588235294116,378,0.828927616540679,0.8690946909851273,0.8879909597350881,0.8951503807027281,0.8951503807027281,0.0,0.0,0.015873015873015872
kidera,134,0.5,4.737383438449742,2.368691719224871,595,91,0.15294117647058825,504,0.10669267237648117,0.10669267237648117,0.10669267237648117,0.9999999999999994,0.9999999999999998,0.0,0.0,0.4166666666666667
kidera,134,1.0,4.737383438449742,4.737383438449742,595,91,0.15294117647058825,504,0.5715229154586932,0.5715229154586932,0.5715229154586932,0.9999999999999999,1.0,0.0,0.0,0.4166666666666667
kidera,134,2.0,4.737383438449742,9.474766876899483,595,91,0.15294117647058825,504,0.8694776283224943,0.8694776283224943,0.8694776283224943,1.0,1.0,0.0,0.0,0.4166666666666667
kidera,304,0.5,4.737383438449742,2.368691719224871,595,48,0.08067226890756303,547,0.06537688855884197,0.10080683996059699,0.14946403788911633,0.2329821902774583,0.9999999999999998,0.0,0.0,0.15173674588665448
kidera,304,1.0,4.737383438449742,4.737383438449742,595,48,0.08067226890756303,547,0.5044712229214118,0.5634722078953379,0.6217763193697491,0.6947509342888069,1.0,0.0,0.0,0.15173674588665448
kidera,304,2.0,4.737383438449742,9.474766876899483,595,48,0.08067226890756303,547,0.8426509314360727,0.8663993644866611,0.8879909597350881,0.912971432820429,1.0,0.0,0.0,0.3692870201096892
kidera,330,0.5,4.737383438449742,2.368691719224871,595,301,0.5058823529411764,294,0.08762168384669956,0.08762168384669959,0.13533528323661267,0.13533528323661267,0.18849175268461585,0.0,0.0,0.0
kidera,330,1.0,4.737383438449742,4.737383438449742,595,301,0.5058823529411764,294,0.5440676437141726,0.5440676437141726,0.6065306597126334,0.6065306597126334,0.6589054324654313,0.0,0.0,0.0
kidera,330,2.0,4.737383438449742,9.474766876899483,595,301,0.5058823529411764,294,0.8588419012550618,0.8588419012550618,0.8824969025845953,0.8824969025845953,0.9009605436296171,0.0,0.0,0.10204081632653061
vhse,99,0.5,3.4635213583036415,1.7317606791518207,595,206,0.346218487394958,389,0.0005320311223718021,0.002458459580751288,0.010440655359836794,0.013272687395689162,0.013272687395689162,0.07197943444730077,0.390745501285347,0.043701799485861184
vhse,99,1.0,3.4635213583036415,3.4635213583036415,595,206,0.346218487394958,389,0.15187428960310048,0.22267208112818973,0.31965532241742994,0.33942178765220593,0.33942178765220593,0.0,0.0,0.043701799485861184
vhse,99,2.0,3.4635213583036415,6.927042716607283,595,206,0.346218487394958,389,0.6242679875360297,0.6869362612204128,0.7519180062000266,0.7632818388441867,0.7632818388441867,0.0,0.0,0.043701799485861184
vhse,134,0.5,3.4635213583036415,1.7317606791518207,595,301,0.5058823529411764,294,0.44916954599399667,0.44916954599399667,0.44916954599399667,0.44916954599399667,0.4491695459939969,0.0,0.0,0.0
vhse,134,1.0,3.4635213583036415,3.4635213583036415,595,301,0.5058823529411764,294,0.8186581237242991,0.8186581237242991,0.8186581237242991,0.8186581237242991,0.8186581237242992,0.0,0.0,0.0
vhse,134,2.0,3.4635213583036415,6.927042716607283,595,301,0.5058823529411764,294,0.9512083279813675,0.9512083279813675,0.9512083279813675,0.9512083279813675,0.9512083279813675,0.0,0.0,1.0
