source,lengthscale_multiplier,fraction_identical_pairs,median_kernel,q25_kernel,q75_kernel,fraction_near_zero,fraction_below_0p01,fraction_near_one
atchley,0.5,0.35672268907563026,0.13939819909260215,0.058417128375208724,0.15564190298382377,0.0,0.007526881720430108,0.07176446582960833
atchley,1.0,0.35672268907563026,0.6108645516085368,0.4776901605987892,0.6270948307972359,0.0,0.0,0.07875371314143628
atchley,2.0,0.35672268907563026,0.8840539440743671,0.8297639695450185,0.8897940565179743,0.0,0.0,0.3486950621150433
esm2_global_delta,0.5,0.0,0.1353352832366127,0.07301180923618802,0.2843101298719647,0.0,0.005042016806722689,0.0
esm2_global_delta,1.0,0.0,0.6065306597126334,0.5198143656024397,0.7302105163203563,0.0,0.0,0.01680672268907563
esm2_global_delta,2.0,0.0,0.8824969025845955,0.8491063121227913,0.9244044358226482,0.0,0.0,0.3865546218487395
esm2_target,0.5,0.0,0.510831161506222,0.08871659688081412,0.9837657241369775,0.0004201680672268908,0.02689075630252101,0.4016806722689076
esm2_target,1.0,0.0,0.777595283786696,0.5456999800728657,0.9959116571790587,0.0,0.0,0.4016806722689076
esm2_target,2.0,0.0,0.9331264873036909,0.8594795122280949,0.9989760407985985,0.0,0.0,0.4016806722689076
esm2_window_delta,0.5,0.0,0.13502962470827515,0.07680151297025237,0.72633609937733,0.037394957983193276,0.13907563025210085,0.14411764705882352
esm2_window_delta,1.0,0.0,0.5919409457780531,0.5181640157998428,0.9213106644118454,0.0,0.0,0.326890756302521
esm2_window_delta,2.0,0.0,0.8757681222409455,0.8475627199487461,0.9795946175058228,0.0,0.0,0.4050420168067227
kidera,0.5,0.27226890756302524,0.14239966056286452,0.1033750766844892,0.21136964183605322,0.0,0.0,0.14950182710974078
kidera,1.0,0.27226890756302524,0.6141534895411913,0.5669944712828484,0.6755696161233744,0.0,0.0,0.14950182710974078
kidera,2.0,0.27226890756302524,0.8852439311598418,0.8677470277358943,0.906394615939135,0.0,0.0,0.22851922543597775
metl_g_20m_1d_target,0.5,0.0,0.4776462821950826,0.002091556818268259,0.9929671102988126,0.20840336134453782,0.29747899159663865,0.4016806722689076
metl_g_20m_1d_target,1.0,0.0,0.6646592082945317,0.20964089649788042,0.9982348686255789,0.0,0.0,0.4016806722689076
metl_g_20m_1d_target,2.0,0.0,0.8811284357786402,0.6757789161346919,0.9995582837713513,0.0,0.0,0.41386554621848737
metl_g_50m_1d_target,0.5,0.0,0.5372411624471254,0.019335091322857302,0.9916602502231944,0.0,0.09033613445378151,0.39327731092436974
metl_g_50m_1d_target,1.0,0.0,0.7830664433341918,0.37231987918035675,0.9979066182338215,0.0,0.0,0.4
metl_g_50m_1d_target,2.0,0.0,0.9342830225596255,0.7810647145893346,0.9994761247857995,0.0,0.0,0.4235294117647059
pcp,0.5,0.27352941176470585,0.21020298027821957,0.020490757225787554,0.28091714133059326,0.017543859649122806,0.16677127367775663,0.13904288618542063
pcp,1.0,0.27352941176470585,0.6631576242665421,0.36648776107422765,0.7073287248310812,0.0,0.0,0.14011584755881118
pcp,2.0,0.27352941176470585,0.9011817346012,0.7764027554833904,0.9153156209494733,0.0,0.0,0.4631336926006002
physical,0.5,0.3630252100840336,0.03585598545557393,0.00947872125787828,0.2864406556195482,0.14180381830151415,0.3130129471143296,0.08435972629521016
physical,1.0,0.3630252100840336,0.4023405306597551,0.3035531816636187,0.71461498377534,0.0,0.0,0.10210166177908114
physical,2.0,0.3630252100840336,0.7917793197416929,0.7409085760343848,0.9180100521660568,0.0,0.0,0.22779839208410635
vhse,0.5,0.27647058823529413,0.13352440624717382,0.011080083578906986,0.3638317373326271,0.017811704834605598,0.17490377013698988,0.1349490446135037
vhse,1.0,0.27647058823529413,0.563753692701431,0.3100782251791052,0.7725525604659549,0.0,0.0,0.13709958224791233
vhse,2.0,0.27647058823529413,0.8620922330960172,0.7438881402846198,0.9372096775960765,0.0,0.0,0.4674617780600232
z_scales,0.5,0.35714285714285715,0.14293998394937546,0.03384929843569956,0.2247150734575421,0.0,0.00646551724137931,0.07338200383479929
z_scales,1.0,0.35714285714285715,0.5938052756568104,0.4285231668825008,0.6885038596803255,0.0,0.0,0.08038631417962687
z_scales,2.0,0.35714285714285715,0.8757659422773693,0.8090357319500543,0.9109121404433226,0.0,0.0,0.47075645449276615
