model,mae,rmse,r2,pearson,spearman
gp_hardened_physical_epistatic,42.563326576744984,58.00598736515594,0.6861899262416575,0.8313494843340236,0.8384340660661805
gp_hardened_physical_epistatic_with_esm2_zero_shot_prior,43.99949222488045,57.834454780063815,0.6880431509116274,0.8300790592745061,0.8273688653947423
random_forest_physical_fixed,51.71212493047962,62.693285323572496,0.6334246218232398,0.7989438700468947,0.8130821506037718
ridge_physical,56.91728452062559,67.65132460829318,0.5731514184274729,0.7571785222314089,0.7801666802520255
bayesian_ridge_physical,57.934261901265046,68.52236355900466,0.562088950875756,0.7506957581134979,0.7777855611201971
ridge_physical_plus_esm2_zero_shot,58.73265855791202,69.64141954565766,0.5476688843207531,0.7401147709827521,0.7796064169268896
knn_physical,63.57968584911232,87.33419026685694,0.2886393635421941,0.6826238312105177,0.7204090208712705
ridge_mutation_count,65.36114302528166,84.01103036852419,0.34174547066495764,0.5881175425002754,0.5801526731784363
train_mean,84.48389355742297,106.59295708035756,-0.059688581314879086,-1.0,-0.9999299695366626
esm2_zero_shot_direct,,,,-0.505386632541037,-0.5828139239728327
