model,mae,rmse,r2,pearson,spearman
gp_hardened_physical_epistatic,42.563326576744984,58.00598736515594,0.6861899262416575,0.8313494843340236,0.8384340660661805
gp_hardened_physical_epistatic_with_esm2_zero_shot_prior,44.138299921345016,58.35776086833402,0.682372223943256,0.8266015956476467,0.8185447180238486
tabicl_v2_physical,50.181050763811385,63.20863629451448,0.6273732102574581,0.7923333191464618,0.8238672196126419
random_forest_physical_fixed,51.77078141574039,62.73703469775987,0.6329128273296287,0.7986355044745433,0.8130821506037718
ridge_physical,56.91728452062561,67.6513246082932,0.5731514184274727,0.7571785222314087,0.7801666802520255
ridge_physical_plus_esm2_zero_shot,57.44042952594311,68.05050868550845,0.5680992228049513,0.7538594976580965,0.7818474702274341
bayesian_ridge_physical,57.934261901265046,68.52236355900467,0.562088950875756,0.7506957581134979,0.7777855611201971
knn_physical,63.57968584911232,87.33419026685694,0.2886393635421941,0.6826238312105176,0.7204090208712705
ridge_mutation_count,65.36114302528166,84.01103036852419,0.34174547066495764,0.5881175425002753,0.5801526731784363
train_mean,84.48389355742297,106.59295708035756,-0.059688581314879086,-1.0,-0.9999299695366626
esm2_zero_shot_direct,,,,-0.18517799938399757,-0.27284823934128294
