candidate_id,selection_count,selection_frequency
160__task-1372632-48_NylC_paper_98,93,0.93
160__task-1372632-10_NylC_paper_27,86,0.86
160__task-1372632-111_NylC_paper_24,85,0.85
160__task-1372632-160_NylC_paper_00,84,0.84
160__task-1372632-91_NylC_paper_06,82,0.82
160__task-1372632-147_NylC_paper_38,81,0.81
160__task-1372632-1_NylC_paper_48,79,0.79
160__task-1372632-90_NylC_paper_33,72,0.72
160__task-1372632-100_NylC_paper_19,70,0.7
160__task-1372632-106_NylC_paper_42,69,0.69
160__task-1372632-14_NylC_paper_00,69,0.69
160__task-1372632-103_NylC_paper_16,68,0.68
160__task-1372632-1_NylC_paper_30,68,0.68
160__task-1372632-75_NylC_paper_04,66,0.66
160__task-1372632-101_NylC_paper_43,64,0.64
160__task-1372632-105_NylC_paper_29,63,0.63
160__task-1372632-1_NylC_paper_44,63,0.63
160__task-1372632-129_NylC_paper_29,59,0.59
160__task-1372632-1_NylC_paper_25,59,0.59
160__task-1372632-103_NylC_paper_42,57,0.57
160__task-1372632-127_NylC_paper_39,56,0.56
160__task-1372632-106_NylC_paper_30,55,0.55
160__task-1372632-106_NylC_paper_47,51,0.51
160__task-1372632-52_NylC_paper_24,51,0.51
160__task-1372632-32_NylC_paper_36,50,0.5
