descriptor_set,model,pca_components,mae,rmse,r2,pearson,spearman,nlpd_observed,median_fitted_lengthscale_multiplier,median_fitted_sigma_main,median_fitted_sigma_epi,median_fitted_sigma_noise,optimizer_success_fraction,boundary_hit_fraction
physical,epistatic,,43.32054530843459,57.089605078701,0.6960267889974483,0.834697373637666,0.8235870879500736,5.5273186247413415,0.40390240246988574,0.5308678818878364,0.7785362072226841,0.2970209842753539,1.0,0.0
z_scales,epistatic,,47.78177127300376,60.27042012538925,0.6612107111396845,0.8133256145576973,0.825407943756766,5.628697973012858,0.4247091720196413,0.5519832691775967,0.7841935634952856,0.3339661299646204,1.0,0.0
vhse,epistatic,,48.85986044040837,60.833896668434434,0.6548463223936138,0.8093122687103436,0.8015967524384815,5.6305369221169315,0.3434451314995033,0.5075157038589507,0.7649915799097858,0.3016952740312935,1.0,0.0
kidera,epistatic,,50.05771963213311,61.05148247403892,0.6523728708504006,0.807720165147642,0.8095805048216711,5.623303714571498,0.41184155938519523,0.48128283588451065,0.7785258531488191,0.2901426248952245,1.0,0.0
pcp,epistatic,,51.33339878239954,64.15750682046931,0.616101697988692,0.7856922749120464,0.761257793028682,5.667905415768979,0.3992314254476937,0.5230624084652982,0.7793326124780522,0.305055491886371,1.0,0.0
atchley,epistatic,,51.58823980101428,64.65067995597354,0.6101770287214838,0.7813265828926582,0.766160097123623,5.6913467056314335,0.4012464763846255,0.5855355105102895,0.7286524301039181,0.3682630997939601,1.0,0.0
physical,additive,,57.60860823898062,68.81716459715383,0.5583128308229601,0.7474682413177609,0.7706422037247118,5.690568585157553,0.6825231615058628,0.9266370168579448,0.0,0.5641012737220544,1.0,0.0
pcp,additive,,60.65320804890827,72.42837093586063,0.5107411750933211,0.7148071740462887,0.7315638367964685,5.745125407826144,0.5003127717417286,0.8638627625208348,0.0,0.5813308675275249,1.0,0.0
atchley,additive,,60.66485664234995,72.25471558178478,0.513084471229752,0.716457861871978,0.7506127898510961,5.74249213720309,0.4159800063051985,0.8672618565744613,0.0,0.5835071988818656,1.0,0.0
vhse,additive,,60.8969974259466,71.9358156119357,0.5173730407395871,0.7195369245560205,0.76083759553483,5.738869162499329,0.41830785912519153,0.8420510235749101,0.0,0.5834747860016093,1.0,0.0
kidera,additive,,60.93314892436791,72.00086956608644,0.5164997347682885,0.7187346585363947,0.7742839153380965,5.734762048138994,0.6627170154157127,0.912904071459278,0.0,0.5824286078699228,1.0,0.0
z_scales,additive,,61.50055471167608,72.30045305607545,0.5124678378409955,0.716042778851349,0.7536942381393447,5.739593730910678,0.46455675718156886,0.867424448239013,0.0,0.5863053338890621,1.0,0.0
