descriptor_set,model,pca_components,mae,rmse,r2,pearson,spearman,nlpd_observed,median_fitted_lengthscale_multiplier,median_fitted_sigma_main,median_fitted_sigma_epi,median_fitted_sigma_noise,optimizer_success_fraction,boundary_hit_fraction,outer_test_variant
physical,epistatic,,45.25292193860317,63.41676105124083,0.6072883381844121,0.7817786580029539,0.7847811162028154,5.627362318576584,0.44869627376008614,0.6033784141883491,0.7670247574532827,0.33042243283999284,1.0,0.0,WT
z_scales,epistatic,,49.20649632770508,64.2556151165654,0.596830328520523,0.7731302809333346,0.7633891075835798,5.67144649609299,0.4462854215203831,0.6132117524163796,0.7678718592107979,0.3725933447504006,1.0,0.0,WT
vhse,epistatic,,51.289551643291134,65.56401262298635,0.580244172316719,0.7624074329400458,0.7322178950241222,5.720105760450645,0.3631840907719281,0.5645763272928055,0.7395652311587424,0.3520865134672998,1.0,0.0,WT
atchley,epistatic,,52.982094381553765,67.49534057765281,0.5551503326623879,0.7456991117420856,0.7198410900372786,5.728371618252926,0.4304563667733792,0.6512208751913089,0.707236111232699,0.40453919816758754,1.0,0.0,WT
kidera,epistatic,,53.04849548625657,66.24088187808097,0.5715324904055505,0.7561769845095758,0.7311482945931602,5.728565915693734,0.43830298479242225,0.5354496160307944,0.757338099682519,0.3446307237808777,1.0,0.0,WT
pcp,epistatic,,53.130847554917196,68.85566096851126,0.53703838208968,0.735075807021583,0.7059362844347755,5.761762748813185,0.43208335306229473,0.588228544251938,0.747664235435986,0.3587921060160907,1.0,0.0,WT
physical,additive,,57.063498063745584,69.07902726262574,0.5340298349520014,0.7313439518609725,0.7720987110928399,5.7025598302372105,0.6632607714403937,0.9368677872438191,0.0,0.5710552300825009,1.0,0.0,WT
pcp,additive,,60.21073386082218,72.80871604063366,0.4823545168001254,0.695059190053944,0.7441362998262677,5.758942092147565,0.5109042531656781,0.8859158820570201,0.0,0.5869608135943452,1.0,0.0,WT
atchley,additive,,60.336999597124034,72.62469131999003,0.484967917664314,0.6969500535405649,0.747192301057587,5.756376749642906,0.41455435764817805,0.8851557621318216,0.0,0.5890471603779646,1.0,0.0,WT
vhse,additive,,60.66908934406824,72.41033509781359,0.488003728290074,0.6993296981165587,0.737718697240497,5.7532118930115805,0.41873132480346686,0.8603514434025348,0.0,0.5895310765693798,1.0,0.0,WT
kidera,additive,,60.87105931234205,72.58764515833263,0.4854932237289521,0.6970999625504303,0.7387882976714588,5.75061969616139,0.6502894720407417,0.9204611251571497,0.0,0.5892339811192078,1.0,0.0,WT
z_scales,additive,,61.26453172326878,72.80593072650811,0.48239412133585935,0.6951259582101719,0.7099090860354906,5.752970010830899,0.46499538644027794,0.8848803267416714,0.0,0.5932818814080373,1.0,0.0,WT
physical,epistatic,,44.33144511097824,58.00476688458703,0.6872839235195352,0.8295301676793928,0.8188555299320265,5.537597453864339,0.4107105783020981,0.533770569289014,0.7962104119825211,0.298379188224576,1.0,0.0,D99G
z_scales,epistatic,,49.18809603678207,61.11874465503851,0.6528064183584361,0.8081430899070968,0.8199251303629883,5.638894423922025,0.41689792713324314,0.5491969784869122,0.794470510018634,0.3361871612524001,1.0,0.0,D99G
vhse,epistatic,,50.20212813217599,61.814963012958444,0.6448514347748278,0.8031611291347315,0.7936435197736416,5.642711588909979,0.34831101543049214,0.50966780445226,0.7792619095095548,0.306062250965792,1.0,0.0,D99G
kidera,epistatic,,51.50667007804073,62.03071134457357,0.6423680093368188,0.8015232966560601,0.8005195225441101,5.63495568876377,0.4167980114873323,0.4829981804830167,0.7903339214913212,0.2940672738458808,1.0,0.0,D99G
atchley,epistatic,,52.632487188415965,65.55615458103517,0.6005616323034159,0.7751849043147852,0.7682787095536908,5.703586499847973,0.41218783314314555,0.5829472885162565,0.7506922698657719,0.3724358870758525,1.0,0.0,D99G
pcp,epistatic,,52.8262488346248,65.16119030769096,0.6053602247728262,0.7790323229350445,0.7520819030276981,5.6793074106955705,0.4008985488282074,0.5229470140311677,0.7927901557614607,0.30780922002958083,1.0,0.0,D99G
physical,additive,,59.12270935709735,70.27492738827502,0.5409884136250089,0.7359111459917297,0.7832531155871557,5.710301801006304,0.6868629451559212,0.9401420604378425,0.0,0.5700955213916534,1.0,0.0,D99G
atchley,additive,,62.48491041140877,73.82438420035861,0.4934497860777901,0.7026881736588818,0.7575827052440729,5.763262093252848,0.4207518703199604,0.8792783775694324,0.0,0.5906988107470548,1.0,0.0,D99G
pcp,additive,,62.506345650810935,73.9863860881844,0.4912241764429218,0.701084844004164,0.7294674939159346,5.7657738952065785,0.5044519651021366,0.874201125726793,0.0,0.5892102363987912,1.0,0.0,D99G
kidera,additive,,62.597759534680094,73.48512688462183,0.49809475536446024,0.7058837358764797,0.7698067101693503,5.754237762607477,0.6715949645232175,0.927926583994636,0.0,0.5889193330794578,1.0,0.0,D99G
vhse,additive,,62.75548318491951,73.52934180291973,0.4974905956784057,0.7056459415123286,0.7598747061675624,5.759896125566759,0.42422296062607867,0.8534361200083347,0.0,0.5911860844601442,1.0,0.0,D99G
z_scales,additive,,63.22122996883803,73.85230414691968,0.49306656502072144,0.702461120651369,0.7467339008728892,5.759738134894723,0.4704439396727743,0.8812294445738447,0.0,0.5927688587115406,1.0,0.0,D99G
physical,epistatic,,44.03194737847124,58.141097574835165,0.6864207708037053,0.8291104307430573,0.825425932579363,5.542259689059335,0.4122428569939821,0.5602091564306984,0.7917820419594334,0.29676592094376053,1.0,0.0,D99V
z_scales,epistatic,,48.60125543649961,60.96401540226105,0.6552311942918869,0.80974878681886,0.8245091322099674,5.640010878269292,0.4270212175996002,0.579094727216436,0.7881817218046083,0.3361138350901234,1.0,0.0,D99V
