descriptor_set,model,pca_components,mae,rmse,r2,pearson,spearman,nlpd_observed,median_fitted_lengthscale_multiplier,median_fitted_sigma_main,median_fitted_sigma_epi,median_fitted_sigma_noise,optimizer_success_fraction,boundary_hit_fraction
physical,epistatic,,43.32054520582957,57.08960526220762,0.6960267870432887,0.8346973731513228,0.8235870879500736,5.527318598606916,0.40390235915788086,0.5308676724396537,0.7785362419403892,0.29702091041087253,1.0,0.0
z_scales,epistatic,,47.781768877813754,60.27041947546222,0.6612107184463638,0.813325618870965,0.825407943756766,5.628698024073263,0.4247091986397701,0.551983397542047,0.7841935091294028,0.333966165728453,1.0,0.0
vhse,epistatic,,48.85986124162455,60.83389614642686,0.6548463283170494,0.8093122726832372,0.8015967524384815,5.630536888403671,0.3434451446733397,0.5075158546048034,0.7649915004668721,0.30169533090369904,1.0,0.0
kidera,epistatic,,50.057719625096034,61.051482595327954,0.6523728694691612,0.8077201644363383,0.8095805048216711,5.623303715266006,0.4118414883381376,0.4812828957052607,0.7785261213695636,0.2901420564528528,1.0,0.0
pcp,epistatic,,51.333397229660896,64.1575059266141,0.6161017086857876,0.7856922816289378,0.761257793028682,5.667905422588608,0.39923133706178593,0.5230624160961711,0.7793326086312463,0.30505546015601454,1.0,0.0
atchley,epistatic,,51.58823704453346,64.65067642676959,0.6101770712814303,0.7813266096159897,0.766160097123623,5.69134657221679,0.4012463531428378,0.5855354514278983,0.7286525078087027,0.3682630430704091,1.0,0.0
physical,additive,,57.60860770520249,68.81716388278187,0.5583128399930248,0.747468247196287,0.7706422037247118,5.690568584938746,0.6825230681228882,0.9266371525068243,0.0,0.5641012644000428,1.0,0.0
pcp,additive,,60.65320988644666,72.42837264025141,0.5107411520667575,0.71480715815575,0.7315638367964685,5.745125426452332,0.5003127963695089,0.8638627756862984,0.0,0.5813308616526961,1.0,0.0
atchley,additive,,60.66485662849778,72.25471543339205,0.5130844732297524,0.7164578632438647,0.7506127898510961,5.742492133568358,0.4159798205505403,0.867261877337031,0.0,0.5835072123126926,1.0,0.0
vhse,additive,,60.89699654567997,71.93581515684782,0.5173730468460773,0.7195369288803464,0.76083759553483,5.738869158630021,0.4183079333990841,0.8420511202594836,0.0,0.5834748011842308,1.0,0.0
kidera,additive,,60.93314952111641,72.00087022463194,0.5164997259237583,0.7187346525445766,0.7742839153380965,5.734762063860843,0.6627172836311976,0.9129037823916308,0.0,0.5824286148101697,1.0,0.0
z_scales,additive,,61.50055520356252,72.3004541030206,0.5124678237215976,0.7160427690263304,0.7536942381393447,5.7395937302165265,0.4645565817450727,0.867424834000769,0.0,0.5863053325534999,1.0,0.0
